Category,Question,Answer,Category1,Question1,Answer1,Category2,Question2,Answer2
General,What is the flower that stands for: domestic industry,Flax,General,In literature who taught at the Marcia Blain school for Girls,Miss Jean Brodie,General,What culture introduced hats and crackers at Xmas season,Ancient Rome
General,What snake builds a nest,King Cobra,General,The first double_decker bus was introduced in this city.,London,General,What were dachshunds bred to hunt,Badgers
General,What type of food is Lollo rosso?,Lettuce,Technology & Video Games,"Who is the developer at Nintendo responsible for classics like Donkey Kong, Super Mario Bros., and The Legend of Zelda?              ",Shigeru Miyamoto,Music,"Who Had A UK No.1 Album With ""Number Of The Beast"" In 1982",Iron Maiden
General,In which of Charles Dickens' novels would you find the character Dora Spenlow,David copperfield,Music,Who Did The Wonder Stuff Serve As The Backing Group For In The 90's,Vic Reeves,General,"What is the term for the study of friction, lubrication and wear",Tribology
General,Who was Hitler's foreign secretary (full name),Joachim von ribbentrop,General,My Name is Mud' was on pork soda released in 1993 by which group,Primus,Geography,The northernmost U.S. state capital is ________________,"Juneau, alaska"
General,What sport exercises all the muscles at once,Swimming,General,What is the fear of paper known as,Papyrophobia,General,The Raven called 'Grip' appears in which novel by Charles Dickens?,Barnaby Rudge
General,Trimontaine was the original name of where,Boston Massachusetts,Science & Nature, The average adult __________ weighs 21 pounds.,Raccoon, Geography,Name the three baltic countries?,"Estonia, Latvia, Lithuania"
General,Nomatophobia is the fear of,Names,General,Name the only country with a national dog,Holland,General,The word Mongol means what in Mongolian,Brave
General,The Detours changed to The High Numbers then what name,The Who,General,Harry Longabaugh A Very Famous Person In History & The Subject Of Many Movies How Is He More Commonly Known,The Sundance Kid,General,The u.s minted a 1787 copper coin with what tongue-in-cheek motto,Mind your
General,In the proverb Heaven protects children sailors and who,Drunken men,General,What are the Boyoma and Tugela,Waterfalls,Geography,"There are four mountain ranges in New York State: Adirondack, Catskill, Shawangunk, and __________",Taconic
General,"What Las Vegas hotel burned in November, 1980, with the loss of 84 lives",Mgm grand,General,"Proverbially, what is rubbed into the wound to make things worse",Salt,Music,Which Song Is The Theme From Midnight Cowboy,Everybody's Talking
Science & Nature,What is another name for the coyote?,Prairie wolf, Geography,What is the capital of Romania ?,Bucharest,General,"Of which country does the group of about 100 islands, known variously as the Spice Islands, the Moluccas, Maluku and PulaU.S.eribu, form part",Indonesia
General,What is the point in the moon's orbit which is farthest from the earth,Apogee,General,Who was the first rock band to perform at NY Opera house,The Who, Geography,What is the capital of Pennsylvania?,Harrisburg
Sports & Leisure,"Which Sport Featured In The Olympics Will You Find The Terms 'Bump, Set, Spike & Pancake'' ",Volleyball ,Music,From which 1951 musical is the song I'm On My Way?,Paint Your Wagon,Science & Nature,In What Conditions Do Thermophilous Plants Thrive ,Warm Or Sunny 
General,Who's band was The Quarrymen,John Lenon,General,In what famous poem does killing an albatross cause disaster,Rime of the,General,In which country is Mount Aspiring National Park,New Zealand (South Island)
General,On which annual day do most heart attacks occur,New years day,People & Places,By what name is Marion Morrison better known as?,John Wayne,General,What era were the first traces of land life believed to appeared,Paleozoic
General,Brooks what is the new name of the mound metalcraft company,Tonka metalcraft,Science & Nature," An __________ can go through 2,000 to 3,000 teeth in a lifetime.",Alligator,Science & Nature,Which Substance In The Skin Filters Out Harmful Rays From The Sun ,Melanin 
Art & Literature,"""Our Town"" is a play by whom?",Thornton Wilder, History & Holidays,What did the license plate on the Delorean in Back To The Future spell out? ,OUTATIME ,General,What is the tallest and thickest kind of grass,Bamboo
General,In the UK which school choir had a No 1 with a song grandma,Saint Winifred's,Science & Nature, The electric organs in an electric eel make up four_fifths of its __________,Body,General,Andrew Patterson wrote which definitive Australian song,Waltzing Matilda
Music,"What was the original working title of the Beatles movie ""Help""?",Eight Arms To Hold You,Sports & Leisure,In what sport do you find 'coursing'?,Greyhound racing, History & Holidays,"Which fictional character created by Steve Coogan, is a presenter for Radio Norwich ",Alan Partridge 
Art & Literature,Which Poet Wrote No Verse During His Time As Poet Laureate ,William Wordsworth ,General,What Roman Emperor was killed by an overdose of laxative,Nero  - by an aunt,Science & Nature,What Is Sodium Carbonate Better Known As ,Washing Soda 
Entertainment,Who is Tippi Hedren's daughter?,Melanie Griffith,Science & Nature," When cows graze in their natural head_down position, their saliva production increases by __________",17%,General,What is your job if you have the title Imam,Muslim leader
Food & Drink,Who released the following 'edible' album 'The spaghetti incident' ,Guns & Roses ,Science & Nature,Who spoke the first recorded message?,Thomas Edison,Music,"Johnny Hates Jazz Sang ""Shattered Dreams"" Or Was It ""Dreaming Of You""",Shattered Dreams
 Geography,What place is known as 'the land nowhere near'?,Cape Three Points,General,What is the worlds fastest moving insect,Tropical Cockroach,Music,From which Aldous Huxley book did the Doors take the inspiration for their name?,The Doors Of Perception
General,The ancient Egyptians worshiped a sky Goddess name her,Nut,Entertainment,What was Kevin Bacon's first big hit?,Footloose,General,What's the name of the dragon in the Ivor the Engine stories,Idris
Music,"Name The Band: Tony Mortimer, Brian Harvey, John Hendy, Terry Coldwell",East 17,General,Eisenhower trophy is given annually to what best amateur team,Golf,General,What got named by novelist Gilbert Frankau at a party in 1926,Zip he said Zip its open Zip its shut
General,"Which word, taken from the French, translates literally as 'rotten pot'",Potpourri,General,What is the zodiacal symbol for capricorn,Goat,Food & Drink,From What Is Sake Made ,Rice 
General,Where would you find your pollers,Hands its your thumbs, Geography,What is the basic unit of currency for Eritrea ?,Nakfa,General,What did Gabriel Fahrenheit invent,Thermometer
General,Puccini's Turendot is set in which country,China,General,What was the title of Agatha Christie's first Hercule Poirot novel,The mysterious affair at styles,General,Pidgin English started because of trade between UK and where,China
General,What is a sternocleidomastoid,A muscle,General,What is a group of cattle,Herd,General,An Ortaline is a cross between what two items,Tangerine - Orange
General,The flowers of the curry plant are what colour,Yellow,Sports & Leisure,How Many Times Do Entrants Hurdle The Water Jump In The Steeplechase ,7 Times ,Music,"Which pop group of the 90’s were made up of John Hendry, Tony Mortimer, Brian Harvey and Terry Caldwell",East 17
General,"Which English theologian, who became Dean of Westminster, was the first person to write a full account of a fossil dinosaur?",William Buckland,General,The San Andreas is what type of geological fault,Conservative,General,What vitamin is sometimes called the 'sunshine vitamin'>,Vitamin d
General,"Which Argentinian golfer, aged 44,won the British Open in 1967",Roberto de vicenzo,General,Rubens is considered to be the supreme master of which style of painting,Baroque,General,In which film did Roger Moore first appear as James Bond,Live and let die
Sports & Leisure,Which Olympic Sport Prohibits The Wearing Of A Beard ,Boxing ,General,"All gondolas in venice, italy must be painted what color, unless they belong to a high official",Black,General,Chi is the Chinese year of what,Cock
Music,Which Band Produced the Mega Selling Album “Rumours”,Fleetwood Mac,General,Which children's author wrote the autobiographies 'Boy' and 'Solo'?,Roald Dahl,Music,Reaching No.2 In 1970 Which Record Set T-Rex On The Road To 70's Super Stardom,Ride A White Swan
Music,Ian Brown Fronts Which Band,The Stone Roses,Music,"The Film ""Mermaids"" Featured A Song Called ""It's In His Kiss"" (The Shoop Shoop Song) By Which Singer",Cher,Geography,Which Country Is The Largest ,Russia 
Food & Drink,"Often eaten for breakfast, bacon is actually the flesh of what barnyard animal?",Pig,Sports & Leisure,What do the letters ERA mean in baseball,Earned run average,General,Who said 'Marriage is a wonderful invention but so is the bicycle repair kit,Laurence olivier
General,"In Growing Pains,What was boners dad's name?",Sylvester Stabone,General,Which economist wrote 'The Affluent Society',J k galbraith,Entertainment,What is the term used for 'slowly' in music?,Lento
General,Who plays centerfield for the Seattle Mariners?,Mike Cameron,Geography,"____________ is derived from the Indian word Bhotanta, meaning ""the edge of Tibet."" It is located in Asia near the southern fringes of the eastern Himalayas.",Bhutan,General,"On which town did Mrs Gaskell base ""Cranford""",Knutsford
